Tamanho,Tipo de Lista,Tempo
10000,Grande Aleatoria,0.028578996658325195
20000,Grande Aleatoria,0.05906248092651367
30000,Grande Aleatoria,0.09040951728820801
40000,Grande Aleatoria,0.12515711784362793
50000,Grande Aleatoria,0.15570878982543945
60000,Grande Aleatoria,0.19705438613891602
70000,Grande Aleatoria,0.21494531631469727
80000,Grande Aleatoria,0.23767614364624023
90000,Grande Aleatoria,0.3003685474395752
100000,Grande Aleatoria,0.3030436038970947
10000,Grande Ordenada,0.018967390060424805
20000,Grande Ordenada,0.03933072090148926
30000,Grande Ordenada,0.059481143951416016
40000,Grande Ordenada,0.08381247520446777
50000,Grande Ordenada,0.10497736930847168
60000,Grande Ordenada,0.12529230117797852
70000,Grande Ordenada,0.14879822731018066
80000,Grande Ordenada,0.17632651329040527
90000,Grande Ordenada,0.2108149528503418
100000,Grande Ordenada,0.2368011474609375
10000,Grande Ordenada Reversa,0.01936626434326172
20000,Grande Ordenada Reversa,0.040923118591308594
30000,Grande Ordenada Reversa,0.06384515762329102
40000,Grande Ordenada Reversa,0.08736968040466309
50000,Grande Ordenada Reversa,0.11363339424133301
60000,Grande Ordenada Reversa,0.12907767295837402
70000,Grande Ordenada Reversa,0.14901971817016602
80000,Grande Ordenada Reversa,0.18897557258605957
90000,Grande Ordenada Reversa,0.21602749824523926
100000,Grande Ordenada Reversa,0.21723246574401855
