Tamanho,Tipo de Lista,Tempo
950,Media Aleatoria,0.0020062923431396484
1400,Media Aleatoria,0.00503993034362793
1850,Media Aleatoria,0.00752568244934082
2300,Media Aleatoria,0.00654292106628418
2750,Media Aleatoria,0.009285926818847656
3200,Media Aleatoria,0.008091449737548828
3650,Media Aleatoria,0.010499954223632812
4100,Media Aleatoria,0.012116193771362305
4550,Media Aleatoria,0.013180971145629883
5000,Media Aleatoria,0.014104843139648438
950,Media Ordenada,1517600
1400,Media Ordenada,2569300
1850,Media Ordenada,3391000
2300,Media Ordenada,4084200
2750,Media Ordenada,5193200
3200,Media Ordenada,6278200
3650,Media Ordenada,6637100
4100,Media Ordenada,6315200
4550,Media Ordenada,7539600
5000,Media Ordenada,8301900
950,Media Ordenada Reversa,0.001001596450805664
1400,Media Ordenada Reversa,0.0029697418212890625
1850,Media Ordenada Reversa,0.00258636474609375
2300,Media Ordenada Reversa,0.003000497817993164
2750,Media Ordenada Reversa,0.005052804946899414
3200,Media Ordenada Reversa,0.005232810974121094
3650,Media Ordenada Reversa,0.005557537078857422
4100,Media Ordenada Reversa,0.00603032112121582
4550,Media Ordenada Reversa,0.008303403854370117
5000,Media Ordenada Reversa,0.008133411407470703
