Tamanho,Tipo de Lista,Tempo (ns)
10,Pequena Aleatoria,15600
20,Pequena Aleatoria,13000
30,Pequena Aleatoria,20500
40,Pequena Aleatoria,37000
50,Pequena Aleatoria,63000
60,Pequena Aleatoria,70500
70,Pequena Aleatoria,107400
80,Pequena Aleatoria,132500
90,Pequena Aleatoia,179100
100,Pequena Aleatoria,191100
10,Pequena Ordenada,1900
20,Pequena Ordenada,2700
30,Pequena Ordenada,3600
40,Pequena Ordenada,4500
50,Pequena Ordenada,5500
60,Pequena Ordenada,6500
70,Pequena Ordenada,7600
80,Pequena Ordenada,8800
90,Pequena Ordenada,9700
100,Pequena Ordenada,11000
10,Pequena Ordenada Reversa,5300
20,Pequena Ordenada Reversa,18300
30,Pequena Ordenada Reversa,39600
40,Pequena Ordenada Reversa,69300
50,Pequena Ordenada Reversa,106900
60,Pequena Ordenada Reversa,153100
70,Pequena Ordenada Reversa,206900
80,Pequena Ordenada Reversa,269300
90,Pequena Ordenada Reversa,340400
100,Pequena Ordenada Reversa,419100
