Tamanho,Tipo de Lista,Tempo
950,Média Aleatória,0.0020062923431396484
1400,Média Aleatória,0.00503993034362793
1850,Média Aleatória,0.00752568244934082
2300,Média Aleatória,0.00654292106628418
2750,Média Aleatória,0.009285926818847656
3200,Média Aleatória,0.008091449737548828
3650,Média Aleatória,0.010499954223632812
4100,Média Aleatória,0.012116193771362305
4550,Média Aleatória,0.013180971145629883
5000,Média Aleatória,0.014104843139648438
950,Média Ordenada,1517600
1400,Média Ordenada,2569300
1850,Média Ordenada,3391000
2300,Média Ordenada,4084200
2750,Média Ordenada,5193200
3200,Média Ordenada,6278200
3650,Média Ordenada,6637100
4100,Média Ordenada,6315200
4550,Média Ordenada,7539600
5000,Média Ordenada,8301900
950,Média Ordenada Reversa,0.001001596450805664
1400,Média Ordenada Reversa,0.0029697418212890625
1850,Média Ordenada Reversa,0.00258636474609375
2300,Média Ordenada Reversa,0.003000497817993164
2750,Média Ordenada Reversa,0.005052804946899414
3200,Média Ordenada Reversa,0.005232810974121094
3650,Média Ordenada Reversa,0.005557537078857422
4100,Média Ordenada Reversa,0.00603032112121582
4550,Média Ordenada Reversa,0.008303403854370117
5000,Média Ordenada Reversa,0.008133411407470703
