Tamanho,Tipo de Lista,Tempo
950,Media Aleatoria,0.02478933334350586
1400,Media Aleatoria,0.05014324188232422
1850,Media Aleatoria,0.12488341331481934
2300,Media Aleatoria,0.15745806694030762
2750,Media Aleatoria,0.20647454261779785
3200,Media Aleatoria,0.28937411308288574
3650,Media Aleatoria,0.35763096809387207
4100,Media Aleatoria,0.4449589252471924
4550,Media Aleatoria,0.5490751266479492
5000,Media Aleatoria,0.695049524307251
950,Media Ordenada,150700
1400,Media Ordenada,189200
1850,Media Ordenada,256100
2300,Media Ordenada,315600
2750,Media Ordenada,380100
3200,Media Ordenada,435100
3650,Media Ordenada,504800
4100,Media Ordenada,561300
4550,Media Ordenada,629300
5000,Media Ordenada,717200
950,Media Ordenada Reversa,0.043998003005981445
1400,Media Ordenada Reversa,0.10007357597351074
1850,Media Ordenada Reversa,0.1809861660003662
2300,Media Ordenada Reversa,0.27886271476745605
2750,Media Ordenada Reversa,0.3927640914916992
3200,Media Ordenada Reversa,0.5257031917572021
3650,Media Ordenada Reversa,0.7272944450378418
4100,Media Ordenada Reversa,0.8712522983551025
4550,Media Ordenada Reversa,1.4440233707427979
5000,Media Ordenada Reversa,2.046267509460449
